,Background,Trees,Lush Bushes,Dry Grass,Dry Bushes,Ground Clutter,Flowers,Logs,Rocks,Landscape,Sky
Background,0,0,0,0,0,0,0,0,0,0,0
Trees,0,3072406,45015,4250,171,0,16453,0,2234,3399,25430
Lush Bushes,0,71702,4142746,182761,3462,6801,110439,645,60503,99255,8791
Dry Grass,0,19601,790796,12430219,298544,104169,154477,850,268689,976737,20961
Dry Bushes,0,87,2134,129429,659249,2106,1,0,18772,39586,4952
Ground Clutter,0,2452,82332,366996,29468,1601423,25473,384,91445,1102047,178
Flowers,0,26426,103564,53657,26,1951,1528262,168,50884,124402,7562
Logs,0,193,4334,2647,0,3998,1684,24702,6396,7751,2
Rocks,0,1805,26813,99753,17183,18533,12757,164,639519,129267,197
Landscape,0,22548,412081,2280132,222960,933240,156500,1204,451327,14033973,4026
Sky,0,257213,29327,28254,18982,8,10723,2,1330,4537,29062933
